# Depth (um), Electronic Energy Loss (keV/nm), Nuclear Energy Loss (keV/nm), Total Energy Loss (keV/nm), Energy (keV)
6.739999999999999147e+01,1.172765039999999992e+01,3.245851100000000655e-01,1.205223550999999915e+01,8.000000000000000000e+04
6.826999999999999602e+01,1.069301830000000209e+01,3.592548400000000197e-01,1.105227314000000227e+01,7.000000000000000000e+04
6.872999999999998977e+01,1.013065890000000024e+01,3.797290900000000469e-01,1.051038798999999990e+01,6.500000000000000000e+04
6.920999999999999375e+01,9.538270600000000599e+00,4.032062300000000543e-01,9.941476830000000930e+00,6.000000000000000000e+04
6.972999999999998977e+01,8.910393600000000802e+00,4.299592500000000150e-01,9.340352850000000373e+00,5.500000000000000000e+04
7.028000000000000114e+01,8.247027900000000855e+00,4.613530999999999604e-01,8.708381000000001038e+00,5.000000000000000000e+04
7.087000000000000455e+01,7.553633300000000439e+00,4.982067499999999760e-01,8.051840050000000915e+00,4.500000000000000000e+04
7.151999999999999602e+01,6.830209800000000442e+00,5.424311300000000946e-01,7.372640930000000203e+00,4.000000000000000000e+04
7.185999999999999943e+01,6.458943399999999890e+00,5.680921899999999969e-01,7.027035589999999665e+00,3.750000000000000000e+04
7.222999999999998977e+01,6.084947099999999942e+00,5.964831500000000730e-01,6.681430250000000015e+00,3.500000000000000000e+04
7.260999999999999943e+01,5.708220900000000597e+00,6.284229800000000754e-01,6.336643880000000451e+00,3.250000000000000000e+04
7.300999999999999091e+01,5.334224599999999761e+00,6.647306500000000895e-01,5.998955249999999850e+00,3.000000000000000000e+04
7.342999999999999261e+01,4.968417999999999779e+00,7.059521399999999502e-01,5.674370139999999729e+00,2.750000000000000000e+04
7.387999999999999545e+01,4.613531000000000049e+00,7.534524000000000221e-01,5.366983400000000515e+00,2.500000000000000000e+04
7.434999999999999432e+01,4.275023400000000251e+00,8.091423600000000604e-01,5.084165760000000311e+00,2.250000000000000000e+04
7.484999999999999432e+01,3.963814800000000194e+00,8.749329500000000426e-01,4.838747750000000458e+00,2.000000000000000000e+04
7.526999999999999602e+01,3.739962999999999926e+00,9.374476600000000159e-01,4.677410659999999609e+00,1.800000000000000000e+04
7.548000000000000398e+01,3.636226800000000203e+00,9.726633700000001381e-01,4.608890170000000452e+00,1.700000000000000000e+04
7.568999999999999773e+01,3.543410200000000287e+00,1.011154960000000047e+00,4.554565160000000112e+00,1.600000000000000000e+04
7.590999999999999659e+01,3.456053400000000053e+00,1.053468410000000022e+00,4.509521809999999853e+00,1.500000000000000000e+04
7.612999999999999545e+01,3.376886300000000229e+00,1.100149700000000230e+00,4.477036000000000016e+00,1.400000000000000000e+04
